sentence,video_path
turn on light turn off light,C:\Users\prana\Downloads\archive (5)\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\turn on light turn off light\turn on.MP4
how are things,C:\Users\prana\Downloads\archive (5)\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\how are things\things (2).MP4
what is your phone number,C:\Users\prana\Downloads\archive (5)\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\what is your phone number\what is your phone number (3).MP4
what have you planned for your career,C:\Users\prana\Downloads\archive (5)\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\what have you planned for your career\MVI_6499.MP4
i am feeling cold,C:\Users\prana\Downloads\archive (5)\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\i am feeling cold\cold.MP4
can you repeat that please,C:\Users\prana\Downloads\archive (5)\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\can you repeat that please\can you repeat that please (6).MP4
you are bad,C:\Users\prana\Downloads\archive (5)\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\you are bad\bad (2).MP4
try to understand,C:\Users\prana\Downloads\archive (5)\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\try to understand\understand (5).MP4
serve the food,C:\Users\prana\Downloads\archive (5)\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\serve the food\serve food.MP4
i am sitting in the class,C:\Users\prana\Downloads\archive (5)\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\i am sitting in the class\sitting (3).MP4
do me a favour,C:\Users\prana\Downloads\archive (5)\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\do me a favour\favour (3).MP4
i am suffering from fever,C:\Users\prana\Downloads\archive (5)\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\i am suffering from fever\fever (3).MP4
i am hungry,C:\Users\prana\Downloads\archive (5)\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\i am hungry\i am hungry   (6).MP4
how are things,C:\Users\prana\Downloads\archive (5)\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\how are things\things (4).MP4
i do not agree,C:\Users\prana\Downloads\archive (5)\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\i do not agree\agree (2).MP4
i am very happy,C:\Users\prana\Downloads\archive (5)\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\i am very happy\very happy (4).MP4
i do not agree,C:\Users\prana\Downloads\archive (5)\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\i do not agree\agree (4).MP4
what do you want to become,C:\Users\prana\Downloads\archive (5)\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\what do you want to become\become.MP4
