Word,Metadata Entries,Images Found,Images Missing,Missing Files
A LOT,4,4,0,
ABUSE,5,5,0,
AFRAID,6,6,0,
AGREE,7,7,0,
ALL,4,4,0,
ANGRY,10,10,0,
ANYTHING,4,4,0,
APPRECIATE,5,5,0,
BAD,5,5,0,
BEAUTIFUL,5,5,0,
BECOME,5,5,0,
BED,7,7,0,
BORED,6,6,0,
BRING,7,7,0,
CHAT,6,6,0,
CLASS,5,5,0,
COLD,7,7,0,
COLLEGE_SCHOOL,18,18,0,
COMB,7,7,0,
COME,6,6,0,
CONGRATULATIONS,7,7,0,
CRYING,13,13,0,
DARE,6,6,0,
DIFFERENCE,5,5,0,
DILEMMA,6,6,0,
DISAPPOINTED,6,6,0,
DO,12,12,0,
DON'T CARE,3,3,0,
ENJOY,4,4,0,
FAVOUR,4,4,0,
FEVER,7,7,0,
FINE,6,6,0,
FOOD,23,23,0,
FREE,7,7,0,
FRIEND,6,6,0,
FROM,7,7,0,
GO,9,9,0,
GOOD,7,7,0,
GRATEFUL,6,6,0,
HAD,4,4,0,
HAPPENED,5,5,0,
HAPPY,5,5,0,
HEAR,7,7,0,
HEART,6,6,0,
HELLO_HI,4,4,0,
HELP,26,26,0,
HIDING,6,6,0,
HOW,20,20,0,
HUNGRY,7,7,0,
HURT,14,14,0,
I_ME_MINE_MY,97,97,0,
KIND,7,7,0,
LEAVE,5,5,0,
LIKE,6,6,0,
LIKE_LOVE,7,7,0,
MEAN IT,3,3,0,
MEDICINE,6,6,0,
MEET,5,5,0,
NAME,7,7,0,
NICE,15,15,0,
NOT,16,16,0,
NUMBER,8,8,0,
OLD_AGE,12,12,0,
ON THE WAY,3,3,0,
OUTSIDE,6,6,0,
PHONE,7,7,0,
PLACE,4,4,0,
PLEASE,2,2,0,
POUR,7,7,0,
PREPARE,6,6,0,
PROMISE,7,7,0,
REALLY,12,12,0,
REPEAT,6,6,0,
ROOM,8,8,0,
SERVE,7,7,0,
SHIRT,7,7,0,
SITTING,5,5,0,
SLEEP,5,5,0,
SLOWER,5,5,0,
SO MUCH,7,7,0,
SOFTLY,5,5,0,
SOME HOW,7,7,0,
SOME ONE,10,10,0,
SOMETHING,3,3,0,
SORRY,6,6,0,
SPEAK,5,5,0,
STOP,6,6,0,
STUBBORN,5,5,0,
SURE,6,6,0,
TAKE CARE,8,8,0,
TAKE TIME,7,7,0,
TALK,7,7,0,
TELL,9,9,0,
THANK,14,14,0,
THAT,12,12,0,
THINGS,3,3,0,
THINK,7,7,0,
THIRSTY,7,7,0,
TIRED,6,6,0,
TODAY,7,7,0,
TRAIN,5,5,0,
TRUST,4,4,0,
TRUTH,4,4,0,
TURN ON,6,6,0,
UNDERSTAND,5,5,0,
WANT,5,5,0,
WATER,21,21,0,
WEAR,7,7,0,
WELCOME,5,5,0,
WHAT,31,31,0,
WHERE,7,7,0,
WHO,7,7,0,
WORRY,4,4,0,
YOU,110,110,0,
