Word,sample_count
A LOT,4
ABUSE,5
AFRAID,6
AGREE,7
ALL,4
ANGRY,10
ANYTHING,4
APPRECIATE,5
BAD,5
BEAUTIFUL,5
BECOME,5
BED,7
BORED,6
BRING,7
CHAT,6
CLASS,5
COLD,7
COLLEGE_SCHOOL,18
COMB,7
COME,6
CONGRATULATIONS,7
CRYING,13
DARE,6
DIFFERENCE,5
DILEMMA,6
DISAPPOINTED,6
DO,12
DON'T CARE,3
ENJOY,4
FAVOUR,4
FEVER,7
FINE,6
FOOD,23
FREE,7
FRIEND,6
FROM,7
GO,9
GOOD,7
GRATEFUL,6
HAD,4
HAPPENED,5
HAPPY,5
HEAR,7
HEART,6
HELLO_HI,4
HELP,26
HIDING,6
HOW,20
HUNGRY,7
HURT,14
I_ME_MINE_MY,97
KIND,7
LEAVE,5
LIKE,6
LIKE_LOVE,7
MEAN IT,3
MEDICINE,6
MEET,5
NAME,7
NICE,15
NOT,16
NUMBER,8
OLD_AGE,12
ON THE WAY,3
OUTSIDE,6
PHONE,7
PLACE,4
PLEASE,2
POUR,7
PREPARE,6
PROMISE,7
REALLY,12
REPEAT,6
ROOM,8
SERVE,7
SHIRT,7
SITTING,5
SLEEP,5
SLOWER,5
SO MUCH,7
SOFTLY,5
SOME HOW,7
SOME ONE,10
SOMETHING,3
SORRY,6
SPEAK,5
STOP,6
STUBBORN,5
SURE,6
TAKE CARE,8
TAKE TIME,7
TALK,7
TELL,9
THANK,14
THAT,12
THINGS,3
THINK,7
THIRSTY,7
TIRED,6
TODAY,7
TRAIN,5
TRUST,4
TRUTH,4
TURN ON,6
UNDERSTAND,5
WANT,5
WATER,21
WEAR,7
WELCOME,5
WHAT,31
WHERE,7
WHO,7
WORRY,4
YOU,110
